actor,name,release_name,score
"凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟",完美的世界,1993-11-24(美国),8.9
"雅克·贝汉,姜文,兰斯洛特·佩林",海洋,2011-08-12,9.0
"俞承豪,金艺芬,童孝熙",爱·回家,2002-04-05(韩国),9.0
"克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫",黄金三镖客,1966-12-23(意大利),8.9
"宋在浩,李顺才,尹秀晶",我爱你,2011-02-17(韩国),9.0
"雅克·贝汉,Philippe Labro",迁徙的鸟,2001-12-12(法国),9.1
"狄龙,张国荣,周润发",英雄本色,2017-11-17,9.2
"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",时空恋旅人,2013-09-04(英国),8.9
"阿沙·巴特菲尔德,维拉·法梅加,大卫•休里斯",穿条纹睡衣的男孩,2008-09-12(英国),9.0
"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",窃听风暴,2006-03-23(德国),9.0
"塔奈·切赫达,阿米尔·汗,达席尔·萨法瑞",地球上的星星,2007-12-21(印度),8.8
"河正宇,李璟荣,李大为",恐怖直播,2013-07-31(韩国),8.8
"志田未来,神木隆之介,大竹忍",借东西的小人阿莉埃蒂,2010-07-17(日本),8.8
"柳承龙,郑镇荣,朴信惠",7号房的礼物,2013-01-23(韩国),8.9
"里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",海豚湾,2009-07-31(美国),8.9
"仲代达矢,春川真澄,井川比佐志",忠犬八公物语,1987-08-01(日本),9.0
"亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺",上帝之城,2002-08-30(巴西),8.9
